Dataset,TSCMP,Shapelet Transformation,Decision Tree Classifier
ArrowHead,0.53,0.51,"0,39"
ECG200,0.78,0.75,"0,64"
ECG5000,0.91,0.91,"0,46"
GunPoint,0.91,0.84,"0,72"
ItalyPowerDemand,0.92,0.92,"0,53"
PhlangesOutlineCorrect,0.64,0.68,"0,62"
,,,
,,,
,,,
,,,
Dataset,TSCMP,Shapelet Transformation,Decision Tree Classifier
ArrowHead,4.35,"42,77","2,93"
ECG200,13.03,"33,56","4,82"
ECG5000,88.07,"1008,36","27,83"
GunPoint,5.59,"27,12","2,95"
ItalyPowerDemand,6.91,"5,62","2,25"
PhlangesOutlineCorrect,639.32,"3596,27","215,9"
,,,
,,,
,,,
,,,
,,,
ArrowHead,"Riga nel file del dataset rispettivo, eseguito sul TSCMP, con questi valori",,
ECG200,136,,
ECG5000,141,,
GunPoint,111,,
ItalyPowerDemand,120,,
PhlangesOutlineCorrect,157,,
,83,,
