Dataset,Candidates,Max depth,Min samples,Window size,Remove candi,k,useValidationSet,% Training set,useClustering,NumCluster(Medoids),Accuracy,PreProcessingTrain Time,Train Time,PreProcessingTest Time,Prediction Time
ItalyPowerDemand,Discords,3,20,20,1,2,False,1,True,20,0.92,2.17,4.64,2.58,0.11
ItalyPowerDemand,Motifs,3,20,20,1,2,False,1,True,20,0.92,1.97,4.22,2.56,0.11
ItalyPowerDemand,Both,3,20,20,1,2,False,1,True,20,0.91,2.4,6.47,3.74,0.11
ItalyPowerDemand,Discords,1,20,20,1,2,False,1,True,20,0.9,2.17,3.24,1.39,0.1
ItalyPowerDemand,Discords,2,20,20,1,2,False,1,True,20,0.92,2.22,4.75,2.63,0.11
ItalyPowerDemand,Discords,3,20,20,1,2,False,1,True,20,0.92,2.15,4.58,3.08,0.1
ItalyPowerDemand,Discords,4,20,20,1,2,False,1,True,20,0.92,2.16,4.63,2.57,0.1
ItalyPowerDemand,Discords,5,20,20,1,2,False,1,True,20,0.92,2.15,4.88,2.54,0.11
ItalyPowerDemand,Discords,3,5,20,1,2,False,1,True,20,0.9,2.17,4.72,3.73,0.11
ItalyPowerDemand,Discords,3,10,20,1,2,False,1,True,20,0.92,2.16,4.62,2.57,0.11
ItalyPowerDemand,Discords,3,15,20,1,2,False,1,True,20,0.92,2.19,4.7,2.61,0.11
ItalyPowerDemand,Discords,3,20,20,1,2,False,1,True,20,0.92,2.44,4.59,2.54,0.11
ItalyPowerDemand,Discords,3,40,20,1,2,False,1,True,20,0.9,2.16,3.21,1.38,0.1
ItalyPowerDemand,Discords,3,80,20,1,2,False,1,True,20,0.9,2.67,3.55,1.39,0.1
ItalyPowerDemand,Discords,3,100,20,1,2,False,1,True,20,0.9,2.17,3.23,1.39,0.1
ItalyPowerDemand,Discords,3,100,20,1,2,False,1,True,20,0.9,2.19,3.21,1.39,0.1
ItalyPowerDemand,Discords,3,160,20,1,2,False,1,True,20,0.9,2.16,3.22,1.38,0.1
ItalyPowerDemand,Discords,3,20,20,0,2,False,1,True,20,0.92,2.16,4.6,2.57,0.11
ItalyPowerDemand,Discords,3,20,20,1,1,False,1,True,20,0.94,2.07,4.25,2.66,0.11
ItalyPowerDemand,Discords,3,20,20,1,3,False,1,True,20,0.91,2.43,5.06,2.62,0.11
ItalyPowerDemand,Discords,3,20,20,1,4,False,1,True,20,0.88,2.76,7.18,3.87,0.12
ItalyPowerDemand,Discords,3,20,20,1,5,False,1,True,20,0.91,2.88,8.54,3.8,0.12
ItalyPowerDemand,Discords,3,20,20,1,2,False,1,True,40,0.94,3.69,8.17,2.61,0.11
ItalyPowerDemand,Discords,3,20,20,1,2,False,1,True,80,0.94,6.73,11.88,2.83,0.12
ItalyPowerDemand,Discords,3,20,20,1,2,False,1,True,160,0.94,10.42,15.16,2.68,0.11
ItalyPowerDemand,Discords,3,20,20,1,2,False,0.1,True,20,0.5,0.11,0.1,1.4,0.1
ItalyPowerDemand,Discords,3,20,20,1,2,False,0.2,True,20,0.74,0.5,0.41,1.39,0.1
ItalyPowerDemand,Discords,3,20,20,1,2,False,0.3,True,20,0.85,0.71,0.91,1.44,0.1
ItalyPowerDemand,Discords,3,20,20,1,2,False,0.4,True,20,0.9,0.89,1.06,1.4,0.1
ItalyPowerDemand,Discords,3,20,20,1,2,False,0.5,True,20,0.84,1.11,1.65,1.39,0.1
ItalyPowerDemand,Discords,3,20,20,1,2,False,0.6,True,20,0.9,1.31,2.82,2.57,0.11
ItalyPowerDemand,Discords,3,20,20,1,2,False,0.7,True,20,0.92,1.49,2.85,2.56,0.11
ItalyPowerDemand,Discords,3,20,20,1,2,False,0.8,True,20,0.88,1.71,3.83,2.56,0.11
ItalyPowerDemand,Discords,3,20,20,1,2,False,0.9,True,20,0.9,1.92,4.76,3.74,0.11
ItalyPowerDemand,Discords,3,20,20,1,2,False,1,True,20,0.94,2.11,4.36,2.59,0.11
ItalyPowerDemand,Discords,3,20,20,1,2,False,0.1,True,20,0.77,0.11,0.1,1.43,0.1
ItalyPowerDemand,Discords,3,20,20,1,2,False,0.2,True,20,0.9,0.55,0.48,1.44,0.1
ItalyPowerDemand,Discords,3,20,20,1,2,False,0.3,True,20,0.93,0.72,0.74,1.44,0.1
ItalyPowerDemand,Discords,3,20,20,1,2,False,0.4,True,20,0.86,0.88,1.29,1.37,0.1
ItalyPowerDemand,Discords,3,20,20,1,2,False,0.5,True,20,0.82,1.15,2.46,2.53,0.11
ItalyPowerDemand,Discords,3,20,20,1,2,False,0.6,True,20,0.9,1.31,2.61,2.56,0.11
ItalyPowerDemand,Discords,3,20,20,1,2,False,0.7,True,20,0.94,1.49,3.79,3.7,0.11
ItalyPowerDemand,Discords,3,20,20,1,2,False,0.8,True,20,0.93,1.69,4.34,3.7,0.11
ItalyPowerDemand,Discords,3,20,20,1,2,False,0.9,True,20,0.93,1.91,4.04,2.53,0.1
ItalyPowerDemand,Discords,3,20,20,1,2,False,1,True,20,0.87,2.09,5.36,3.7,0.11
ItalyPowerDemand,Discords,3,20,20,1,2,False,0.1,True,20,0.86,0.12,0.12,1.48,0.1
ItalyPowerDemand,Discords,3,20,20,1,2,False,0.1,True,20,0.84,0.11,0.13,1.42,0.1
ItalyPowerDemand,Discords,3,20,20,1,2,False,0.1,True,20,0.3,0.1,0.13,1.38,0.1
ItalyPowerDemand,Discords,3,20,20,1,2,False,0.1,True,20,0.74,0.1,0.13,1.39,0.1
ItalyPowerDemand,Discords,3,20,20,1,2,False,0.1,True,20,0.79,0.11,0.13,1.38,0.1
