Dataset,Candidates,Max depth,Min samples,Window size,Remove candi,k,useValidationSet,% Training set,useClustering,NumCluster(Medoids),Accuracy,Time
,,,,,,,,,,,,
BirdChicken,Discords,3,20,20,1,2,False,1,True,20,0.8,3.37
,,,,,,,,,,,,
Coffee,Discords,3,20,20,1,2,False,1,True,20,0.93,3.59
,,,,,,,,,,,,
FaceFour,Discords,3,10,70,1,2,False,1,True,20,0.88,5.26
,,,,,,,,,,,,
MedicalImages,Motifs,3,10,20,1,4,False,1,True,20,0.3,89.36
,,,,,,,,,,,,
OliveOil,Discords,3,20,130,1,2,False,1,True,20,0.67,6.13
,,,,,,,,,,,,
Plane,Discords,3,20,40,1,2,False,1,True,20,0.98,24.68
,,,,,,,,,,,,
Symbols,Motifs,3,5,130,1,2,False,1,True,20,0.87,4.6
,,,,,,,,,,,,
Trace,Discords,3,20,20,1,2,False,1,True,20,0.98,20.66
,,,,,,,,,,,,
TwoLeadECG,Discords,3,20,30,1,2,False,1,True,20,0.92,2.57
,,,,,,,,,,,,
Wine,Discords,3,10,30,1,2,False,1,True,20,0.8,11.04
,,,,,,,,,,,,
Adiac,Motifs,3,5,85,1,2,False,1,True,20,0.06,106.06
,,,,,,,,,,,,
Earthquakes,Discords,3,5,30,1,3,False,1,True,20,0.74,1541.25
,,,,,,,,,,,,
Fish,Discords,3,20,260,1,3,False,1,True,20,0.56,263.71
,,,,,,,,,,,,
Strawberry,Discords,3,20,30,1,2,False,1,True,20,0.91,129.1
,,,,,,,,,,,,
Wafer,Discords,3,20,20,1,2,False,1,True,20,0.94,603.0
,,,,,,,,,,,,
WordSynonyms,Motifs,5,5,140,1,2,False,1,True,20,0.18,249.8
,,,,,,,,,,,,
Worms,Motifs,3,20,270,1,2,False,1,True,20,0.47,76.29
,,,,,,,,,,,,
WormsTwoClass,Discords,3,20,90,1,2,False,1,True,20,0.79,68.18
,,,,,,,,,,,,
Yoga,Discords,3,20,220,1,2,False,1,True,20,0.73,416.39
,,,,,,,,,,,,
ArrowHead,Discords,3,10,60,1,2,False,1,False,20,0.71,34.77
,,,,,,,,,,,,
ECG200,Discords,4,20,30,1,3,False,1,True,100,0.8,60.27
,,,,,,,,,,,,
ECG5000,Discords,3,20,20,1,2,False,1,True,20,0.91,88.07
,,,,,,,,,,,,
GunPoint,Discords,3,20,20,1,2,False,1,True,20,0.91,7.61
,,,,,,,,,,,,
ItalyPowerDemand,Discords,2,10,15,1,2,False,1,True,10,0.93,5.97
,,,,,,,,,,,,
PhalangesOutlineCorrect,Discords,3,100,15,1,1,False,1,True,20,0.71,417.23
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,Candidates,Max depth,Min samples,Window size,Remove candi,k,useValidationSet,% Training set,useClustering,NumCluster(Medoids),,
,Discords,"3,08","18,8","72,6",1,"2,16",False,1,True,"22,8",,
