Algorithm,DatasetName,Accuracy,Time
TSCMP,Adiac,0.03,105.77
ShapeletTransformation,Adiac,0.49,2091.69
Decision Tree with Shapelet,Adiac,0.02,24.28
KNN,Adiac,0.26,0.01
Decision tree classifier,Adiac,0.0,0.16
TSCMP,BirdChicken,0.8,3.17
ShapeletTransformation,BirdChicken,0.65,64.35
Decision Tree with Shapelet,BirdChicken,0.5,2.42
KNN,BirdChicken,0.45,0.0
Decision tree classifier,BirdChicken,0.0,0.0
TSCMP,Coffee,0.93,3.74
ShapeletTransformation,Coffee,0.79,36.22
Decision Tree with Shapelet,Coffee,0.54,2.4
KNN,Coffee,0.89,0.0
Decision tree classifier,Coffee,1.0,0.0
TSCMP,Earthquakes,0.74,1495.34
ShapeletTransformation,Earthquakes,0.64,4764.72
Decision Tree with Shapelet,Earthquakes,0.73,1438.62
KNN,Earthquakes,0.74,0.03
Decision tree classifier,Earthquakes,1.0,0.07
TSCMP,ElectricDevices,0.28,5114.37
KNN,ElectricDevices,0.53,0.21
Decision tree classifier,ElectricDevices,0.0,0.89
TSCMP,FaceFour,0.24,49.49
ShapeletTransformation,FaceFour,0.66,47.89
Decision Tree with Shapelet,FaceFour,0.16,45.08
KNN,FaceFour,0.68,0.0
Decision tree classifier,FaceFour,0.0,0.0
TSCMP,Fish,0.26,52.4
ShapeletTransformation,Fish,0.66,1406.73
Decision Tree with Shapelet,Fish,0.13,19.08
KNN,Fish,0.75,0.01
Decision tree classifier,Fish,0.0,0.05
TSCMP,MedicalImages,0.21,84.54
ShapeletTransformation,MedicalImages,0.56,419.48
