Algorithm,DatasetName,Accuracy,PreProcessingTrainTime,TrainTime,PredictionTime
KNN,ArrowHead,0.64,0.01,0.0,0.03
KNN,BirdChicken,0.45,0.01,0.0,0.02
KNN,Coffee,0.89,0.01,0.0,0.01
KNN,Earthquakes,0.74,0.03,0.02,0.08
KNN,ECG200,0.85,0.0,0.0,0.01
KNN,ECG5000,0.87,0.01,0.01,0.93
KNN,FaceFour,0.68,0.01,0.0,0.02
KNN,GunPoint,0.85,0.01,0.0,0.02
KNN,ItalyPowerDemand,0.93,0.0,0.0,0.05
KNN,OliveOil,0.83,0.01,0.01,0.02
KNN,PhalangesOutlinesCorrect,0.66,0.03,0.02,0.24
KNN,Strawberry,0.94,0.03,0.02,0.12
KNN,Trace,0.74,0.01,0.0,0.02
KNN,TwoLeadECG,0.58,0.01,0.0,0.07
KNN,Wafer,0.99,0.04,0.03,1.59
KNN,Wine,0.72,0.01,0.0,0.02
KNN,Worms,0.35,0.04,0.02,0.07
KNN,WormsTwoClass,0.61,0.04,0.02,0.07
KNN,Yoga,0.79,0.03,0.02,0.87
