Dataset,Candidates,Max depth,Min samples,Window size,Remove candi,k,useValidationSet,% Training set,useClustering,NumCluster(Medoids),Accuracy,Time
BirdChicken,Discords,3,20,20,1,2,False,1,True,20,0.8,3.37
BirdChicken,Discords,3,20,15,1,2,False,1,True,20,0.55,3.18
BirdChicken,Discords,3,20,10,1,2,False,1,True,20,0.45,3.21
BirdChicken,Discords,3,20,25,1,2,False,1,True,20,0.6,3.51
BirdChicken,Discords,3,20,30,1,2,False,1,True,20,0.65,3.32
BirdChicken,Discords,3,20,20,1,2,False,1,True,20,0.8,3.35
BirdChicken,Motifs,3,20,20,1,2,False,1,True,20,0.7,3.17
BirdChicken,Discords,3,20,50,1,2,False,1,True,20,0.75,3.19
BirdChicken,Discords,3,20,100,1,2,False,1,True,20,0.6,3.22
BirdChicken,Discords,3,20,80,1,2,False,1,True,20,0.7,3.22
BirdChicken,Discords,3,20,60,1,2,False,1,True,20,0.55,3.2
BirdChicken,Discords,3,20,40,1,2,False,1,True,20,0.7,3.36
BirdChicken,Motifs,3,20,10,1,2,False,1,True,20,0.8,3.55
BirdChicken,Motifs,3,20,15,1,2,False,1,True,20,0.5,3.3
BirdChicken,Motifs,3,20,25,1,2,False,1,True,20,0.7,3.19
BirdChicken,Motifs,3,20,30,1,2,False,1,True,20,0.6,3.09
BirdChicken,Motifs,3,20,40,1,2,False,1,True,20,0.7,3.48
BirdChicken,Motifs,3,20,50,1,2,False,1,True,20,0.6,3.07
BirdChicken,Motifs,3,20,80,1,2,False,1,True,20,0.55,3.11
BirdChicken,Motifs,3,20,100,1,2,False,1,True,20,0.6,3.11
Coffee,Discords,3,20,20,1,2,False,1,True,20,0.93,3.59
FaceFour,Discords,3,20,20,1,2,False,1,True,20,0.24,48.98
FaceFour,Discords,3,20,50,1,2,False,1,True,20,0.3,3.76
FaceFour,Discords,3,20,50,1,2,False,1,True,20,0.3,3.83
FaceFour,Discords,3,20,60,1,2,False,1,True,20,0.3,4.09
FaceFour,Discords,3,20,80,1,2,False,1,True,20,0.3,3.92
FaceFour,Discords,3,20,100,1,2,False,1,True,20,0.27,4.34
FaceFour,Discords,3,20,150,1,2,False,1,True,20,0.3,4.6
FaceFour,Motifs,3,20,150,1,2,False,1,True,20,0.3,3.16
FaceFour,Motifs,3,10,150,1,2,False,1,True,20,0.75,3.58
FaceFour,Motifs,3,5,150,1,2,False,1,True,20,0.75,3.55
FaceFour,Motifs,3,5,100,1,2,False,1,True,20,0.68,3.64
FaceFour,Discords,3,5,100,1,2,False,1,True,20,0.62,5.2
FaceFour,Discords,3,5,150,1,2,False,1,True,20,0.68,5.5
FaceFour,Discords,3,5,80,1,2,False,1,True,20,0.77,4.71
FaceFour,Discords,3,5,70,1,2,False,1,True,20,0.88,5.33
FaceFour,Discords,3,10,70,1,2,False,1,True,20,0.88,5.26
FaceFour,Discords,3,15,70,1,2,False,1,True,20,0.67,4.85
FaceFour,Discords,3,10,70,1,2,False,1,True,20,0.88,5.33
MedicalImages,Discords,3,30,15,1,4,False,1,True,20,0.15,91.29
MedicalImages,Discords,3,20,20,1,2,False,1,True,20,0.21,92.56
MedicalImages,Discords,3,20,40,1,2,False,1,True,20,0.14,93.27
MedicalImages,Discords,3,20,50,1,2,False,1,True,20,0.04,122.39
MedicalImages,Discords,3,20,60,1,2,False,1,True,20,0.11,113.15
MedicalImages,Discords,3,20,70,1,2,False,1,True,20,0.13,107.3
MedicalImages,Discords,3,20,80,1,2,False,1,True,20,0.17,100.44
MedicalImages,Discords,3,20,90,1,2,False,1,True,20,0.15,97.84
MedicalImages,Motifs,3,20,40,1,2,False,1,True,20,0.11,82.98
MedicalImages,Motifs,3,20,50,1,2,False,1,True,20,0.13,114.67
MedicalImages,Motifs,3,20,60,1,2,False,1,True,20,0.23,104.78
MedicalImages,Motifs,3,20,70,1,2,False,1,True,20,0.24,94.4
MedicalImages,Motifs,3,20,80,1,2,False,1,True,20,0.2,86.95
MedicalImages,Discords,3,30,5,1,2,False,1,True,20,0.26,90.39
MedicalImages,Discords,3,30,15,1,2,False,1,True,20,0.27,92.7
MedicalImages,Discords,3,30,25,1,2,False,1,True,20,0.17,92.32
MedicalImages,Discords,3,30,35,1,2,False,1,True,20,0.17,97.49
MedicalImages,Discords,3,30,45,1,2,False,1,True,20,0.13,104.73
MedicalImages,Discords,3,10,5,1,4,False,1,True,20,0.22,89.25
MedicalImages,Discords,3,10,10,1,4,False,1,True,20,0.14,90.7
MedicalImages,Discords,3,10,15,1,4,False,1,True,20,0.15,91.13
MedicalImages,Discords,3,10,20,1,4,False,1,True,20,0.19,96.67
MedicalImages,Discords,3,10,25,1,4,False,1,True,20,0.19,107.1
MedicalImages,Motifs,3,10,5,1,4,False,1,True,20,0.16,84.71
MedicalImages,Motifs,3,10,10,1,4,False,1,True,20,0.13,87.2
MedicalImages,Motifs,3,10,15,1,4,False,1,True,20,0.23,88.02
MedicalImages,Motifs,3,10,20,1,4,False,1,True,20,0.3,89.36
MedicalImages,Motifs,3,10,25,1,4,False,1,True,20,0.19,88.03
MedicalImages,Motifs,3,5,20,1,2,False,1,True,20,0.16,83.66
OliveOil,Motifs,3,20,20,1,2,False,1,True,20,0.53,5.57
OliveOil,Motifs,3,20,30,1,2,False,1,True,20,0.63,5.57
OliveOil,Motifs,3,20,40,1,2,False,1,True,20,0.13,5.66
OliveOil,Motifs,3,20,50,1,2,False,1,True,20,0.13,5.76
OliveOil,Motifs,3,20,60,1,2,False,1,True,20,0.37,5.86
OliveOil,Motifs,3,20,70,1,2,False,1,True,20,0.3,6.08
OliveOil,Motifs,3,20,80,1,2,False,1,True,20,0.57,5.85
OliveOil,Motifs,3,20,80,1,2,False,1,True,20,0.57,5.81
OliveOil,Motifs,3,20,90,1,2,False,1,True,20,0.57,4.61
OliveOil,Motifs,3,20,100,1,2,False,1,True,20,0.23,4.55
OliveOil,Motifs,3,20,110,1,2,False,1,True,20,0.63,4.53
OliveOil,Motifs,3,20,120,1,2,False,1,True,20,0.67,4.56
OliveOil,Discords,3,20,10,1,2,False,1,True,20,0.63,5.48
OliveOil,Discords,3,20,20,1,2,False,1,True,20,0.13,5.5
OliveOil,Discords,3,20,30,1,2,False,1,True,20,0.63,5.58
OliveOil,Discords,3,20,40,1,2,False,1,True,20,0.57,5.59
