Algorithm,DatasetName,Accuracy,Time,,,
TSCMP,Adiac,0.03,103.08,,,
ShapeletTransformation,Adiac,0.49,2083.1,,,
Decision Tree with Shapelet,Adiac,0.02,23.9,,,
KNN,Adiac,0.26,0.01,,,
Decision tree classifier,Adiac,0.19,0.16,,,
TSCMP,BirdChicken,0.8,3.11,,,
ShapeletTransformation,BirdChicken,0.75,60.11,,,
Decision Tree with Shapelet,BirdChicken,0.5,2.42,,,
KNN,BirdChicken,0.45,0.0,,,
Decision tree classifier,BirdChicken,0.5,0.0,,,
TSCMP,Coffee,0.93,3.55,,,
ShapeletTransformation,Coffee,0.89,30.41,,,
Decision Tree with Shapelet,Coffee,0.54,2.28,,,
KNN,Coffee,0.89,0.0,,,
Decision tree classifier,Coffee,0.54,0.0,,,
TSCMP,Earthquakes,0.74,1574.63,,,
ShapeletTransformation,Earthquakes,0.64,4698.97,,,
Decision Tree with Shapelet,Earthquakes,0.73,1375.83,,,
KNN,Earthquakes,0.74,0.02,,,
Decision tree classifier,Earthquakes,0.68,0.06,,,
TSCMP,FaceFour,0.24,49.48,,,
ShapeletTransformation,FaceFour,0.78,43.27,,,
Decision Tree with Shapelet,FaceFour,0.16,45.92,,,
KNN,FaceFour,0.68,0.0,,,
Decision tree classifier,FaceFour,0.16,0.0,,,
TSCMP,Fish,0.26,51.57,,,
ShapeletTransformation,Fish,0.71,1410.35,,,
Decision Tree with Shapelet,Fish,0.13,18.97,,,
KNN,Fish,0.75,0.01,,,
Decision tree classifier,Fish,0.46,0.05,,,
TSCMP,MedicalImages,0.21,84.61,,,
ShapeletTransformation,MedicalImages,0.58,410.12,,,
Decision Tree with Shapelet,MedicalImages,0.08,18.77,,,
KNN,MedicalImages,0.63,0.01,,,
Decision tree classifier,MedicalImages,0.57,0.03,,,
TSCMP,OliveOil,0.13,5.39,,,
ShapeletTransformation,OliveOil,0.73,120.57,,,
Decision Tree with Shapelet,OliveOil,0.4,3.96,,,
KNN,OliveOil,0.83,0.0,,,
Decision tree classifier,OliveOil,0.4,0.0,,,
TSCMP,Plane,0.85,23.27,,,
ShapeletTransformation,Plane,0.94,97.6,,,
Decision Tree with Shapelet,Plane,0.13,5.74,,,
