Candidates,Max depth,Min samples,Window size,Remove candi,k,% Training set,Accuracy,Time
Motifs,2,5,5,0,2,0.25,0.44,317.4
Discords,2,5,5,0,2,0.25,0.56,360.45
Discords,3,5,5,0,2,0.25,0.33,382.15
Discords,3,5,10,0,2,0.25,0.33,355.75
Discords,3,5,50,0,2,0.25,0.44,361.16
Discords,4,10,50,0,2,0.25,0.56,368.23
Discords,2,10,50,0,2,0.25,0.33,354.52
Both,4,10,50,0,2,0.25,0.56,1183.08
Both,4,10,25,0,2,0.25,0.89,1189.26
Both,4,10,20,0,2,0.25,0.44,1142.08
Both,4,10,30,0,2,0.25,0.44,1112.61
Both,4,10,25,0,2,1,0.5,3933.59
