Candidates,Max depth,Min samples,Window size,Remove candi,k,% Training set,Accuracy,Time
Motifs,2,5,5,0,1,1,0.7,
Motifs,2,5,5,1,1,1,0.7,
Discords,2,5,5,0,1,1,0.58,
Discords,2,5,10,0,1,1,0.57,
Discords,2,5,20,0,1,1,0.8,
Motifs,2,5,20,0,1,1,0.89,
Discords,3,5,20,0,1,1,0.7,
Discords,4,5,20,0,1,1,0.73,
Both,4,5,20,0,1,1,0.89,
Motifs,4,10,20,1,1,1,0.89,
Motifs,4,10,20,1,2,1,0.89,
Motifs,5,10,20,1,2,1,0.89,
Motifs,5,10,50,1,2,1,0.93,
Discords,5,10,50,1,2,1,0.9,
Both,5,10,50,1,2,1,0.93,
Motifs,2,5,20,0,1,0.3,0.62,
Motifs,2,5,20,0,1,0.5,0.56,
Motifs,2,5,20,0,1,0.5,0.56,
Motifs,2,5,20,0,1,0.6,0.55,
Motifs,2,5,20,0,1,0.8,0.34,
Motifs,2,5,20,0,1,0.8,0.4,
Motifs,2,5,20,0,1,0.9,0.72,
Motifs,2,5,20,0,1,1,0.9,
Motifs,5,10,50,1,2,0.1,0.63,
Motifs,5,10,50,1,2,0.1,0.13,
Motifs,5,10,50,1,2,0.1,0.26,
Motifs,5,10,50,1,2,0.1,0.5,
Motifs,5,10,50,1,2,0.1,0.47,
Motifs,5,10,50,1,2,0.1,0.38,
Motifs,5,10,50,1,2,0.1,0.4,
Motifs,5,10,50,1,2,0.1,0.48,
Motifs,5,10,50,1,2,0.1,0.5,
Motifs,5,10,50,1,2,0.1,0.22,
Motifs,5,10,50,1,2,0.8,0.6,
Motifs,5,10,50,1,2,0.8,0.66,
Motifs,5,10,50,1,2,0.8,0.58,
Motifs,5,10,50,1,2,0.2,0.67,3.19
Motifs,5,10,50,1,2,0.2,0.22,3.21
Motifs,5,10,50,1,2,0.2,0.59,3.11
Motifs,5,10,50,1,2,0.2,0.31,2.7
Motifs,5,10,50,1,2,0.3,0.75,10.43
Motifs,5,10,50,1,2,0.3,0.49,9.3
Motifs,5,10,50,1,2,0.3,0.57,7.08
Motifs,5,10,50,1,2,0.2,0.64,3.69
Motifs,5,10,50,1,2,0.2,0.56,2.86
Motifs,5,10,50,1,2,0.3,0.42,10.34
Motifs,5,10,50,1,2,0.3,0.61,8.17
Motifs,5,10,50,1,2,0.4,0.49,42.09
Motifs,5,10,50,1,2,0.4,0.38,35.33
Motifs,5,10,50,1,2,0.4,0.51,40.42
Motifs,5,10,50,1,2,0.4,0.45,37.12
Motifs,5,10,50,1,2,0.4,0.3,32.3
Motifs,5,10,50,1,2,0.4,0.39,36.96
Motifs,5,10,50,1,2,0.5,0.45,63.58
Motifs,5,10,50,1,2,0.5,0.56,77.26
Motifs,5,10,50,1,2,0.5,0.61,88.6
Motifs,5,10,50,1,2,0.5,0.52,81.0
Motifs,5,10,50,1,2,0.6,0.27,160.25
Motifs,5,10,50,1,2,0.6,0.41,193.3
Motifs,5,10,50,1,2,0.6,0.45,181.47
Motifs,5,10,50,1,2,0.6,0.61,198.57
Motifs,5,10,50,1,2,0.7,0.59,355.14
Motifs,5,10,50,1,2,0.7,0.48,311.29
Motifs,5,10,50,1,2,0.7,0.45,338.88
Motifs,5,10,50,1,2,0.7,0.43,299.80
Motifs,5,10,50,1,2,0.9,0.59,706.77
Motifs,5,10,50,1,2,0.9,0.69,825.72
Motifs,5,10,50,1,2,0.9,0.47,694.74
Motifs,4,10,50,1,2,0.9,0.57,764.53
Motifs,5,10,50,1,2,1,0.93,39.85
Motifs,4,50,20,1,1,0.1,0.72,1.24
Motifs,4,50,5,1,2,0.5,0.66,4.73
Motifs,4,50,5,1,2,0.5,0.55,4.55
Motifs,4,50,5,1,2,0.5,0.61,5.27
