Candidates,Max depth,Min samples,Window size,Remove candi,k,% Training set,Accuracy,Time
Motifs,2,5,5,0,1,1,"0.65",
Discords,2,5,5,0,1,1,"0.65",
Both,2,5,5,0,1,1,"0.64",
Motifs,3,5,5,0,1,1,"0.64",
Discords,3,5,5,0,1,1,"0.73",
Motifs,4,5,5,0,1,1,"0.67",
Discords,4,5,5,0,1,1,"0.71",
Discords,5,5,5,0,1,1,"0.71",
Discords,3,10,5,0,1,1,"0.73",
Discords,3,20,5,0,1,1,"0.73",
Discords,3,50,5,0,1,1,"0.64",
Discords,4,50,5,0,1,1,"0.64",
Discords,3,5,5,0,2,1,"0.72",
Discords,3,5,10,0,1,1,"0.85",
Discords,3,5,10,1,1,1,"0.85",
Discords,4,15,10,1,1,1,"0.85",
Discords,4,15,10,0,1,1,"0.85",
Discords,5,20,10,1,1,1,"0.85",
Discords,3,5,10,0,1,"0.5","0.51",
Discords,3,5,10,0,1,"0.8","0.43",
Discords,3,5,10,0,1,"0.9","0.44",
Discords,3,5,10,0,1,"0.9","0.52",
Discords,4,15,10,0,1,0.1,0.55,2.3
Discords,3,5,10,0,1,0.1,0.5,2.28
Discords,3,5,10,0,1,0.1,0.5,2.3
Discords,3,5,10,0,1,0.2,0.54,10.89
Discords,3,5,10,0,1,0.3,0.47,37.4
Discords,3,5,10,0,1,0.6,0.42,380.46
Discords,3,5,10,0,1,0.7,0.47,595.36
Discords,3,5,10,0,1,0.9,0.39,1747.38
Discords,3,5,10,0,1,0.1,0.69,2.29
Discords,3,5,10,0,1,0.2,0.52,8.04
Discords,3,5,10,0,1,0.2,0.51,8.29
Discords,3,5,10,0,1,0.2,0.47,8.01
Discords,3,5,10,0,1,0.3,0.45,34.45
Discords,3,5,10,0,1,0.3,0.46,38.52
Discords,3,5,10,0,1,0.3,0.47,36.95
Discords,3,5,10,0,1,0.4,0.62,72.29
Discords,3,5,10,0,1,0.4,0.5,79.67
Discords,3,5,10,0,1,0.4,0.42,75.69
Discords,3,5,10,0,1,0.5,0.34,179.09
Discords,3,5,10,0,1,0.5,0.56,164.32
Discords,3,5,10,0,1,0.5,0.4,161.14
Discords,3,5,10,0,1,0.6,0.48,377.53
Discords,3,5,10,0,1,0.6,0.42,371.13
Motifs,4,50,5,1,1,1,0.64,45.92
Motifs,4,50,20,1,1,0.1,0.37,2.41
Motifs,4,50,5,1,2,0.1,0.47,2.88
Motifs,4,50,5,1,2,0.3,0.57,4.9
Motifs,4,50,5,1,2,0.25,0.75,4.14
