Candidates,Max depth,Min samples,Window size,Remove candi,k,useValidationSet,% Training set,useClustring,NumCluster(Medoids),Accuracy,Time
Motifs,3,10,5,0,2,True,0.3,True,10,0.1,6.48
Motifs,3,10,5,0,2,True,0.3,True,10,0.5,26.89
Motifs,3,10,5,0,2,True,0.3,False,10,0.2,6.91
Motifs,3,10,10,0,2,True,0.3,False,10,0.5,25.2
Motifs,3,10,15,0,2,True,0.3,False,10,0.5,25.27
Motifs,3,10,20,0,2,True,0.3,False,10,0.2,24.8
Motifs,3,10,25,0,2,True,0.3,False,10,0.6,23.86
Motifs,3,10,30,0,2,True,0.3,False,10,0.8,19.91
Motifs,3,10,35,0,2,True,0.3,False,10,0.5,21.65
Motifs,3,10,35,0,2,True,0.3,False,10,0.7,21.03
Motifs,3,10,40,0,2,True,0.3,False,10,0.8,25.94
Motifs,3,10,45,0,2,True,0.3,False,10,0.6,23.06
Motifs,3,10,45,0,2,True,0.3,False,10,0.8,21.67
Motifs,3,10,50,0,2,True,0.3,False,10,0.7,22.98
Motifs,3,10,50,0,2,True,0.3,False,10,0.5,24.99
Motifs,3,10,50,0,2,True,0.3,False,10,0.4,23.46
Motifs,3,10,40,0,2,True,0.3,False,10,0.7,23.15
Motifs,3,10,40,0,2,True,0.3,False,10,0.9,23.54
Discords,3,10,40,0,2,True,0.3,False,10,0.5,22.73
Discords,3,10,40,0,2,True,0.3,False,10,0.5,22.94
Discords,3,10,40,0,2,True,0.3,False,10,0.7,23.22
Discords,3,10,40,0,2,True,0.3,False,10,0.8,26.45
Discords,4,10,40,0,2,True,0.3,False,10,0.6,24.45
Discords,4,10,40,0,2,True,0.3,False,10,0.6,21.65
Motifs,4,10,40,0,2,True,0.3,False,10,0.6,24.69
Motifs,4,10,40,0,2,True,0.3,False,10,0.9,21.79
Motifs,4,10,40,0,2,True,0.3,False,10,0.2,24.33
Motifs,5,10,40,0,2,True,0.3,False,10,0.8,24.46
Motifs,5,10,40,0,2,True,0.3,False,10,0.8,22.74
Discords,5,10,40,0,2,True,0.3,False,10,0.5,24.22
Discords,5,8,40,0,2,True,0.3,False,10,0.6,24.93
Discords,5,8,40,0,2,True,0.3,False,10,0.8,26.52
Motifs,5,8,40,0,2,True,0.3,False,10,0.8,21.26
Motifs,5,10,40,0,2,True,0.3,False,10,0.8,22.69
Motifs,4,10,40,0,2,True,0.3,False,10,0.7,21.81
Motifs,5,10,40,0,2,True,0.3,False,10,0.4,5.69
Motifs,5,10,40,0,2,True,0.3,True,20,0.8,11.15
Motifs,5,10,40,0,2,True,0.3,True,20,0.5,9.4
Motifs,4,10,40,0,2,True,0.3,False,20,0.8,22.98
Motifs,4,10,40,0,2,False,1,False,20,0.59,54.81
Discords,4,10,40,0,2,False,1,False,20,0.55,57.58
Discords,5,10,40,0,2,False,1,False,20,0.55,58.51
Motifs,5,10,40,0,2,False,1,False,20,0.59,56.73
Motifs,5,10,30,0,2,False,1,False,20,0.59,54.56
Motifs,5,10,30,0,2,False,1,True,20,0.53,17.71
Motifs,5,10,30,0,2,False,1,True,40,0.5,38.43
Motifs,4,10,30,0,2,False,1,True,40,0.5,37.31
Motifs,4,5,30,0,2,False,1,True,40,0.51,37.76
Both,4,5,30,0,2,False,1,True,40,0.52,35.72
Both,4,5,50,0,2,False,1,True,40,0.42,36.65
Motifs,4,5,50,0,2,False,1,True,40,0.59,31.99
Motifs,4,5,50,1,2,False,1,True,40,0.59,31.99
Motifs,4,10,50,1,2,False,1,True,40,0.59,32.22
Motifs,3,10,50,1,2,False,1,True,40,0.59,31.92
Motifs,3,10,50,1,2,False,1,True,40,0.59,32.42
Motifs,3,10,60,1,2,False,1,True,40,0.55,29.55
Discords,3,10,60,1,2,False,1,True,40,0.7,33.95
Discords,3,10,60,1,2,False,1,True,40,0.7,34.52
Motifs,3,10,60,1,2,False,1,True,40,0.55,29.47
Discords,3,10,60,1,2,False,1,True,40,0.7,33.39
Discords,3,10,60,1,1,False,1,True,40,0.6,24.28
Discords,3,10,65,1,2,False,1,True,40,0.59,33.73
Discords,3,10,60,1,2,False,1,True,40,0.7,36.05
Discords,4,10,60,1,2,False,1,True,40,0.7,36.5
Discords,4,10,60,1,2,False,0.1,True,40,0.49,1.38
Discords,4,10,60,1,2,False,0.1,True,40,0.41,1.33
Discords,4,10,60,1,2,False,0.1,True,40,0.45,2.14
Discords,4,10,60,1,2,False,0.2,True,40,0.39,2.12
Discords,4,10,60,1,2,False,0.2,True,40,0.36,1.84
Discords,4,10,60,1,2,False,0.2,True,40,0.46,1.97
Discords,4,10,60,1,2,False,0.2,True,40,0.3,2.32
Discords,4,10,60,1,2,False,0.1,True,40,0.43,1.39
Discords,4,10,60,1,2,False,0.1,True,40,0.33,1.35
Discords,4,10,60,1,2,False,0.1,True,40,0.35,1.49
Discords,4,10,60,1,2,False,0.3,True,40,0.3,2.98
