Candidates,Max depth,Min samples,Window size,Remove candi,k,useValidationSet,% Training set,useClustering,NumCluster(Medoids),Accuracy,Time
Motifs,3,50,5,0,1,True,0.3,True,10,0.6,5.97
Motifs,4,50,5,0,1,True,0.3,True,10,0.6,6.12
Motifs,3,50,10,0,1,True,0.3,True,10,0.53,8.44
Motifs,3,50,15,0,1,True,0.3,True,10,0.77,8.85
Motifs,3,50,20,0,1,True,0.3,True,10,0.73,8.3
Motifs,3,50,25,0,1,True,0.3,True,10,0.63,8.69
Motifs,3,50,30,0,1,True,0.3,True,10,0.7,5.99
Motifs,3,50,30,0,1,True,0.3,True,10,0.7,5.88
Motifs,3,50,30,0,1,True,0.3,True,10,0.63,6.05
Motifs,3,50,10,0,1,True,0.3,True,10,0.6,6.89
Motifs,3,50,15,0,1,True,0.3,True,10,0.6,7.48
Motifs,3,50,15,0,1,True,0.3,True,10,0.67,6.15
Motifs,3,50,20,0,1,True,0.3,True,10,0.7,8.22
Motifs,5,50,15,0,1,True,0.3,True,10,0.63,6.19
Motifs,5,50,15,0,1,True,0.3,True,10,0.77,8.23
Motifs,5,50,15,0,1,True,0.3,True,10,0.67,6.18
Motifs,5,50,15,0,1,True,0.3,True,10,0.53,8.5
Discords,4,50,15,0,1,True,0.3,True,10,0.6,5.82
Discords,4,50,15,0,1,True,0.3,True,10,0.6,6.29
Discords,4,50,20,0,1,True,0.3,True,10,0.7,7.34
Discords,4,50,20,0,1,True,0.3,True,10,0.47,5.94
Discords,4,50,20,0,1,True,0.3,True,10,0.7,10.0
Discords,4,50,20,0,1,True,0.3,True,10,0.73,6.33
Discords,4,50,20,0,1,True,0.3,True,10,0.77,6.05
Discords,4,50,20,0,1,True,0.3,True,20,0.57,9.33
Discords,4,10,20,0,1,True,0.3,True,20,0.73,19.27
Discords,4,10,20,0,1,True,0.3,True,20,0.67,19.99
Motifs,4,10,20,0,1,True,0.3,True,20,0.63,23.44
Motifs,4,10,20,0,1,True,0.3,True,20,0.83,20.55
Motifs,4,10,20,0,1,True,0.3,True,20,0.77,22.84
Motifs,4,10,20,0,1,True,0.3,True,20,0.73,19.63
Motifs,4,10,20,0,2,True,0.3,True,20,0.6,20.98
Motifs,4,10,20,0,2,True,0.3,True,20,0.77,22.36
Motifs,4,10,15,0,2,True,0.3,True,20,0.67,19.65
Motifs,4,10,15,0,2,True,0.3,True,20,0.83,19.97
Motifs,4,10,15,0,2,True,0.3,True,20,0.7,18.11
Discords,4,10,15,0,2,True,0.3,True,20,0.8,25.34
Discords,4,10,15,0,2,True,0.3,True,20,0.63,20.79
Discords,4,10,15,0,2,True,0.3,True,20,0.6,26.79
Discords,3,10,15,0,2,True,0.3,True,20,0.7,21.15
Discords,3,10,15,0,2,True,0.3,True,20,0.77,21.06
Motifs,3,10,15,0,2,True,0.3,True,20,0.63,18.27
Motifs,3,10,15,0,2,True,0.3,True,20,0.8,18.7
Motifs,3,10,15,0,2,True,0.3,True,20,0.77,20.42
Motifs,3,10,15,0,2,True,0.3,True,20,0.73,18.62
Both,3,10,15,0,2,True,0.3,True,20,0.67,19.61
Motifs,3,10,15,0,2,False,1,True,20,0.7,29.26
Discords,3,10,15,0,2,False,1,True,20,0.66,29.22
Motifs,3,10,15,0,2,False,0.1,True,20,0.68,1.85
Motifs,3,10,15,0,2,False,0.1,True,20,0.43,2.44
Motifs,3,10,15,0,2,False,0.1,True,20,0.61,23.41
Motifs,3,10,15,0,2,False,0.1,True,20,0.64,2.93
Motifs,3,10,15,0,2,False,0.1,True,20,0.61,2.22
Motifs,3,10,15,0,2,False,0.1,True,20,0.63,2.11
Motifs,3,10,15,0,2,False,0.1,True,20,0.62,1.9
Motifs,3,10,15,0,2,False,0.1,True,20,0.73,1.77
Motifs,3,10,15,0,2,False,0.2,True,20,0.64,3.23
Motifs,3,10,15,0,2,False,0.2,True,20,0.54,6.5
Motifs,3,10,15,0,2,False,0.2,True,20,0.63,4.36
Motifs,3,10,15,0,2,False,0.2,True,20,0.76,3.72
Motifs,3,10,15,0,2,False,0.2,True,20,0.63,4.23
Motifs,3,10,15,0,2,False,0.2,True,20,0.55,3.82
Motifs,3,10,15,0,2,False,0.3,True,20,0.72,8.57
Motifs,3,10,15,0,2,False,0.3,True,20,0.65,7.06
Motifs,3,10,15,0,2,False,0.3,True,20,0.7,6.69
Motifs,3,10,15,0,2,False,0.3,True,20,0.62,7.0
Motifs,3,10,15,0,2,False,0.3,True,20,0.69,7.1
Motifs,3,10,15,0,2,False,0.3,True,20,0.64,5.83
Motifs,3,10,15,0,2,False,0.3,True,20,0.8,8.01
Motifs,3,10,15,0,2,False,0.4,True,20,0.69,12.29
Motifs,3,10,15,0,2,False,0.4,True,20,0.68,10.91
Motifs,3,10,15,0,2,False,0.4,True,20,0.74,14.23
Motifs,3,10,15,0,2,False,0.4,True,20,0.63,13.73
Motifs,3,10,15,0,2,False,0.4,True,20,0.69,11.78
Motifs,3,10,15,0,2,False,0.4,True,20,0.72,12.43
Motifs,3,10,15,0,2,False,0.5,True,20,0.66,15.09
Motifs,3,10,15,0,2,False,0.5,True,20,0.78,14.11
Motifs,3,10,15,0,2,False,0.5,True,20,0.69,14.02
Motifs,3,10,15,0,2,False,0.5,True,20,0.8,15.61
Motifs,3,10,15,0,2,False,0.5,True,20,0.67,14.69
Motifs,3,10,15,0,2,False,0.5,True,20,0.73,16.97
Motifs,3,10,15,0,2,False,0.5,True,20,0.62,17.09
Motifs,3,10,15,0,2,False,0.5,True,20,0.66,15.3
Motifs,3,10,15,0,2,False,0.6,True,20,0.69,17.19
Motifs,3,10,15,0,2,False,0.6,True,20,0.7,19.63
