Candidates,Max depth,Min samples,Window size,Remove candi,k,useValidationSet,% Training set,useClustering,NumCluster(Medoids),Accuracy,Time
Motifs,3,5,5,0,2,True,0.05,True,20,0.2,429.32
Motifs,4,50,5,0,1,True,0.3,True,20,0.39,3833.92
Motifs,5,100,5,0,1,True,0.3,True,20,0.46,9581.85
Discords,5,50,5,0,1,True,0.3,True,50,0.49,9489.33
Discords,4,50,5,0,1,True,0.3,True,50,0.44,8043.4
Both,4,50,5,0,1,True,0.3,True,10,0.46,2670.35
Motifs,4,50,15,0,1,True,0.3,True,10,0.52,2292.63
Motifs,4,50,10,0,1,True,0.3,True,10,0.37,2377.39
Motifs,4,50,20,0,1,True,0.3,True,10,0.41,2132.09
Discords,4,50,20,0,1,True,0.3,True,10,0.4,2384.61
Discords,4,50,30,0,1,False,0.3,True,10,0.45,1980.89
Discords,3,50,30,0,2,False,0.1,True,10,0.19,437.35
Discords,3,100,30,0,2,True,0.3,True,10,0.45,1975.78
Motifs,4,50,40,1,2,True,0.3,True,50,0.44,6743.39
Motifs,4,50,40,1,2,True,0.3,True,100,0.38,13753.35
Motifs,5,500,40,1,1,False,0.9,True,10,0.33,5542.2
Motifs,3,500,40,0,1,False,0.9,True,20,0.34,8514.83
Motifs,4,50,70,1,3,False,1,True,5,0.23,2056.57
Discords,2,100,10,1,1,False,1,True,5,0.25,2095.55
