Candidates,Max depth,Min samples,Window size,Remove candi,k,useValidationSet,% Training set,useClustering,NumCluster(Medoids),Accuracy,Time
Motifs,3,50,5,0,1,True,0.3,True,10,0.66,348.23
Discords,3,50,5,0,1,True,0.3,True,10,0.69,360.62
Both,3,50,5,0,1,True,0.3,True,10,0.69,362.53
Motifs,3,50,10,0,1,True,0.3,True,10,0.69,331.94
Motifs,3,50,15,0,1,True,0.3,True,10,0.7,321.66
Motifs,3,50,20,0,1,True,0.3,True,10,0.67,308.28
Motifs,3,50,25,0,1,True,0.3,True,10,0.66,306.06
Motifs,3,50,30,0,1,True,0.3,True,10,0.73,288.76
Motifs,3,50,35,0,1,True,0.3,True,10,0.68,223.61
Motifs,3,50,40,0,1,True,0.3,True,10,0.68,265.28
Motifs,3,50,50,0,1,True,0.3,True,10,0.68,233.58
Motifs,4,50,30,0,1,True,0.3,True,10,0.73,331.35
Motifs,5,50,30,0,1,True,0.3,True,10,0.73,377.85
Motifs,5,50,30,0,2,True,0.3,True,10,0.69,401.27
Motifs,4,50,30,0,2,True,0.3,True,10,0.69,341.17
Motifs,4,50,30,0,2,True,0.3,True,50,0.72,1777.64
Motifs,4,50,30,0,2,True,0.3,True,100,0.67,4443.96
Discords,3,50,30,0,2,True,0.3,True,10,0.7,295.96
Discords,4,50,30,0,2,True,0.3,True,10,0.71,356.97
Discords,5,50,30,0,2,True,0.3,True,10,0.71,412.59
Discords,5,100,30,0,2,True,0.3,True,10,0.72,386.97
Motifs,4,100,30,0,2,True,0.3,True,10,0.68,328.98
Motifs,5,100,30,0,2,True,0.3,True,10,0.69,382.29
Motifs,4,50,30,0,2,True,0.3,True,10,0.69,338.39
Motifs,4,50,30,0,1,True,0.3,True,10,0.73,329.98
Motifs,4,50,30,0,3,True,0.3,True,10,0.69,350.64
Motifs,4,50,30,0,4,True,0.3,True,10,0.69,358.16
Motifs,4,50,30,0,5,True,0.3,True,10,0.69,357.25
Motifs,4,50,30,0,1,False,1,True,10,0.65,515.79
Motifs,4,50,30,0,1,False,1,True,50,0.68,2740.59
Discords,4,50,30,0,1,False,1,True,50,0.65,2731.65
Discords,4,50,30,0,1,False,0.1,True,50,0.66,212.52
Discords,4,50,30,0,1,False,0.1,True,10,0.65,52.66
Discords,4,50,30,0,1,False,0.1,True,10,0.65,52.02
Discords,4,50,30,0,1,False,0.1,True,10,0.63,50.55
Discords,4,50,30,0,1,False,0.1,True,10,0.66,50.81
Discords,4,50,30,0,1,False,0.3,True,10,0.65,155.52
Discords,4,50,30,0,1,False,0.3,True,10,0.66,156.09
Discords,4,50,30,0,1,False,0.5,True,10,0.66,259.44
Discords,4,50,30,0,1,False,0.8,True,10,0.64,434.43
Motifs,4,50,30,0,1,False,0.1,True,10,0.62,56.72
Motifs,4,50,30,0,1,False,0.1,True,10,0.63,46.79
Motifs,4,50,30,0,1,False,0.1,True,10,0.65,54.0
Motifs,4,50,30,0,1,False,0.1,True,10,0.64,50.65
Motifs,4,50,30,0,1,False,0.1,True,10,0.67,50.72
Motifs,4,50,30,0,1,False,0.1,True,10,0.65,54.56
Motifs,4,50,30,0,1,False,0.1,True,10,0.62,52.04
Motifs,4,50,30,0,1,False,0.1,True,10,0.66,49.66
Motifs,4,50,30,0,1,False,0.2,True,10,0.67,97.35
Motifs,4,50,30,0,1,False,0.2,True,10,0.67,101.0
Motifs,4,50,30,0,1,False,0.2,True,10,0.68,109.44
Motifs,4,50,30,0,1,False,0.4,True,10,0.7,213.22
Motifs,4,50,30,0,1,False,0.5,True,10,0.66,264.81
Motifs,4,50,30,0,1,False,0.5,True,10,0.69,264.28
Motifs,4,50,30,0,1,False,0.8,True,10,0.69,427.05
Motifs,4,50,30,0,1,False,0.8,True,10,0.68,431.67
Motifs,4,50,30,0,1,False,0.8,True,10,0.69,435.65
Motifs,4,50,30,0,1,False,1,True,10,0.65,529.36
Motifs,4,50,30,1,3,False,1,True,20,0.67,1085.79
Motifs,2,10,10,0,1,False,1,True,10,0.66,158.74
Motifs,2,10,15,0,1,False,1,True,10,0.63,158.8
Motifs,3,10,15,0,1,False,1,True,10,0.63,231.44
Motifs,3,20,20,0,1,False,1,True,10,0.68,228.56
Motifs,3,30,30,0,1,False,1,True,10,0.65,213.21
Motifs,4,50,30,0,1,False,1,True,10,0.65,286.94
Motifs,5,100,30,0,1,False,1,True,10,0.68,337.0
Motifs,5,100,40,0,1,False,1,True,10,0.68,333.91
Motifs,5,100,40,0,1,False,1,True,50,0.7,1615.77
Discords,2,100,40,0,1,False,1,True,10,0.66,147.22
Discords,3,100,40,0,1,False,1,True,10,0.66,208.35
Discords,3,100,15,0,1,False,1,True,10,0.66,221.38
Discords,3,100,20,0,1,False,1,True,10,0.64,218.27
Discords,3,100,30,0,1,False,1,True,10,0.64,208.78
Discords,3,100,40,0,1,False,1,True,10,0.66,205.99
Discords,3,100,50,0,1,False,1,True,10,0.65,206.7
Discords,3,100,10,0,1,False,1,True,10,0.66,239.17
Discords,3,100,15,1,1,False,1,True,20,0.71,417.23
Discords,3,100,20,1,1,False,1,True,20,0.64,416.61
Discords,3,100,20,1,2,False,1,True,20,0.66,441.34
Both,3,100,20,1,2,False,1,True,20,0.65,477.43
Discords,3,20,20,1,2,False,1,True,20,0.65,669.95
