Candidates,Max depth,Min samples,Window size,Remove candi,k,useValidationSet,% Training set,NumCluster(Medoids),Accuracy,Time
Motifs,3,50,5,0,1,True,0.3,10,0.56,33.97
Motifs,3,50,10,0,1,True,0.3,10,0.81,35.03
Motifs,3,50,15,0,1,True,0.3,10,0.85,36.1
Motifs,3,50,20,0,1,True,0.3,10,0.91,35.85
Motifs,3,50,25,0,1,True,0.3,10,0.82,37.19
Motifs,3,50,30,0,1,True,0.3,10,0.87,35.93
Motifs,3,50,20,0,1,True,0.3,10,0.91,35.37
Motifs,4,50,20,0,1,True,0.3,10,0.91,42.19
Motifs,5,50,20,0,1,True,0.3,10,0.91,48.23
Motifs,4,50,20,1,1,True,0.3,10,0.91,41.88
Motifs,4,50,20,1,1,True,0.3,10,0.91,41.2
Motifs,4,50,20,0,1,True,0.3,50,0.86,145.59
Motifs,4,50,20,0,1,True,0.3,100,0.89,248.36
Discords,3,50,20,0,1,True,0.3,10,0.87,36.77
Discords,4,50,20,0,1,True,0.3,10,0.87,42.58
Discords,5,50,20,0,1,True,0.3,10,0.87,47.71
Discords,5,100,20,0,1,True,0.3,10,0.87,47.21
Motifs,4,50,20,0,1,False,1,10,0.84,96.94
Motifs,4,50,20,0,1,False,0.1,10,0.85,14.3
Motifs,4,50,20,0,1,False,0.1,10,0.88,14.71
Motifs,4,50,20,0,1,False,0.1,10,0.85,14.48
Motifs,4,50,20,0,1,False,0.1,10,0.8,14.41
Motifs,4,50,20,0,1,False,0.1,10,0.87,14.01
Motifs,4,10,20,0,1,False,0.1,10,0.86,35.08
Motifs,4,10,20,0,1,False,0.1,10,0.85,27.59
Motifs,4,50,20,0,1,False,0.1,10,0.84,14.18
Motifs,4,50,20,0,1,False,0.1,10,0.83,13.65
Motifs,4,50,20,0,1,False,0.1,10,0.85,14.44
Motifs,4,50,20,0,1,False,0.1,10,0.9,13.98
Motifs,4,50,20,0,1,False,0.1,10,0.86,15.39
Motifs,4,50,20,0,1,False,0.1,10,0.73,14.06
Motifs,4,50,20,0,1,False,0.1,10,0.84,13.92
Motifs,4,50,20,0,1,False,0.1,10,0.89,14.03
